"text","intent"
"what have you done so far","experiences"
"what projects demonstrate your full-stack skills","projects"
"your educational background","education"
"are you experienced with system design and architecture","skills"
"do you have experience in designing microservices","skills"
"what is your level of expertise","experiences"
"what is your personal portfolio website","projects"
"can you share a project demonstrating the use of Docker or Kubernetes","projects"
"I am Jane Smith. My email address is janesmith@example.com, and I want to know if you are open to working together.","userWantsToSendEmail"
"how well do you know system design and architecture","skills"
"who is behind this site","introduction"
"can you help with robotic process automation (RPA)","services"
"do you have a LinkedIn profile","contact"
"can I view your work on GitHub Pages","projects"
"can you help integrate voice assistants into websites or apps","services"
"okie","general"
"can you develop AI-based predictive maintenance solutions","services"
"is your portfolio interactive or static","projects"
"what is your experience","experiences"
"can you develop mobile applications","services"
"are you experienced with databases","skills"
"can you help with data-driven decision-making solutions","services"
"did you use authentication for MongoDB","projects"
"what areas of expertise do you bring","experiences"
"This is Jane Smith, reaching out with my email: janesmith@example.com. My message is about a potential collaboration.","userWantsToSendEmail"
"can you describe your employment history","experiences"
"got it","general"
"are you a front-end, back-end, or full-stack developer","skills"
"can I talk to you","general"
"can you build web applications","services"
"can you develop intelligent web applications","services"
"can you summarize your work history","experiences"
"can you provide custom AI tools for my business","services"
"what’s the most rewarding project you’ve done","projects"
"what Linux commands were used for setup","projects"
"what roles have you taken on","experiences"
"I need some details","general"
"can you build data visualizations with AI insights","services"
"what programming paradigms are you familiar with","skills"
"hello","general"
"are you proficient in specific libraries or modules","skills"
"where did you study","education"
"how experienced are you","experiences"
"certainly","general"
"My name is Jane Smith, and here is my email: janesmith@example.com. My message is I would like to discuss a potential project with you.","userWantsToSendEmail"
"do you offer cloud infrastructure setup","services"
"do you offer consulting for machine learning strategies","services"
"how do you choose which projects to work on","projects"
"can you optimize existing applications with AI","services"
"what is your email address","contact"
"what libraries do you commonly use","skills"
"can this system handle large file uploads","projects"
"what technologies have you gained experience with","experiences"
"how to reach out to you","contact"
"do you offer AI services","services"
"who are you","introduction"
"what did you study","education"
"can you list the most impactful projects you have worked on","experiences"
"John Doe here. My email is johndoe@example.com. I want to discuss a project with you.","userWantsToSendEmail"
"hello there","general"
"nice to meet you","general"
"tech stack","skills"
"do you develop custom AI solutions for enterprise needs","services"
"how are you","general"
"do you know multiple programming languages","skills"
"can you help with AI model training and tuning","services"
"can I know who you are","introduction"
"how experienced are you with CI/CD pipelines","skills"
"have you worked on any freelance or contract projects","projects"
"can you explain a specific project in detail","projects"
"where can I send feedback or suggestions","contact"
"how can you help","services"
"OK","general"
"are you good at coding","skills"
"can you introduce yourself","general"
"yeah","general"
"may I know about you","introduction"
"can you set up DevOps pipelines","services"
"definitely","general"
"what inspired this project","projects"
"can users interact with files directly","projects"
"do you know any design patterns","skills"
"can you describe projects showcasing DevOps skills","projects"
"greetings","general"
"do you provide continuous integration and continuous delivery (CI/CD)","services"
"how did you install and configure MongoDB","projects"
"do you assist with AI and machine learning model deployment","services"
"are you skilled in any specific frameworks","skills"
"can you provide links to your projects","projects"
"can you list the roles you’ve held","experiences"
"how is your portfolio website responsive","projects"
"how is the portfolio optimized for performance and accessibility","projects"
"so, who are you","introduction"
"gotcha","general"
"who are you as a person","introduction"
"I want to know more","general"
"is the system optimized for performance","projects"
"do you create AI models for businesses","services"
"do you have an FAQ for contact-related queries","contact"
"are you open to receiving proposals","contact"
"what skills do you have","skills"
"how portable is the integration across platforms","projects"
"what does your tech stack look like","skills"
"do you have experience in leadership or management","experiences"
"what experience do you bring to the table","experiences"
"can you assist me","general"
"can you help with deploying AI applications on the cloud","services"
"what is your strategy for adopting new technologies","skills"
"what technologies are used in your personal portfolio website","projects"
"how to connect with you","contact"
"how do I ask you a question directly","contact"
"do you provide AI-driven customer support solutions","services"
"can you provide serverless computing solutions","services"
"can you explain a project that heavily used machine learning","projects"
"have you worked in teams or independently","experiences"
"can I find your contact details in your portfolio","contact"
"academic achievements","education"
"tell me about your work","general"
"fair enough","general"
"what frameworks do you use","skills"
"what degree do you have","education"
"work history","experiences"
"can I email you my questions","contact"
"what kind of automation services do you offer","services"
"do you use messaging apps like Signal or Skype","contact"
"is there a specific way to contact you","contact"
"got it","general"
"Email me at alexjohnson@example.com. I am Alex Johnson, and my message is about your availability for an upcoming project.","userWantsToSendEmail"
"how proficient are you in solving complex system issues","skills"
"are you open to direct messages","contact"
"can you describe any high-impact projects you’ve contributed to","experiences"
"are you proficient with version control systems","skills"
"what technologies did you use in your projects","projects"
"what unique technical skills set you apart","skills"
"I’m curious about your work","general"
"are you a bot","general"
"how does the system handle files","projects"
"can you help with developing voice-enabled applications","services"
"do you have live demos of your projects","projects"
"I’m just browsing","general"
"what has your career taught you about your field","experiences"
"do you have a minute","general"
"what technologies do you know","skills"
"do you provide web scraping services","services"
"awesome","general"
"do you follow specific programming paradigms","skills"
"do you offer cloud-based business automation","services"
"do you provide consultation for cloud infrastructure management","services"
"can you help with system automation","services"
"nice","general"
"can you help with automation using AI","services"
"how seamless is the frontend-backend communication","projects"
"is your tech stack flexible and diverse","skills"
"are you available","general"
"Hey, it’s John Doe. Drop me a message at johndoe@example.com. I have a project to discuss.","userWantsToSendEmail"
"what are your favorite projects you have worked on","projects"
"let’s talk","general"
"You can reach me at janesmith@example.com. My name is Jane Smith, and I wanted to discuss a possible collaboration.","userWantsToSendEmail"
"how has your experience shaped your current skillset","experiences"
"where did you study","education"
"can you help me","general"
"can I follow you on Instagram or Twitter","contact"
"who’s speaking","introduction"
"can I call you","contact"
"is the File Management System scalable","projects"
"what companies or clients have you worked with","experiences"
"have you worked on projects involving large datasets","projects"
"My email is johndoe@example.com. My name is John Doe, and I wanted to check your availability for a project.","userWantsToSendEmail"
"do you work with agile or other methodologies","skills"
"sure","general"
"how does this project enhance your personal branding","projects"
"are you skilled in DevOps","skills"
"send you a message","contact"
"what challenges did you face during integration","projects"
"how would you describe yourself","introduction"
"can you help with cross-platform mobile apps","services"
"Could you let me know if you are available for a project? My name is Jane Smith, and my email is janesmith@example.com.","userWantsToSendEmail"
"how do I submit a business inquiry","contact"
"is there a specific department I should contact","contact"
"alrighty","general"
"is there a way to contact you directly","contact"
"can you share the source code for your innovative projects","projects"
"do you create automated data pipelines","services"
"can I see your projects","projects"
"tell me about your experience","experiences"
"what is your education","education"
"what is your name","introduction"
"do you respond to contact forms quickly","contact"
"have you worked on any open-source projects","projects"
"I am interested in working with you on a new project. My name is Alex Johnson, and you can contact me at alexjohnson@example.com.","userWantsToSendEmail"
"can you elaborate on your technical expertise","skills"
"do you offer cloud-native app development","services"
"can you share your professional history","experiences"
"can you build websites with integrated AI tools","services"
"tell me about your portfolio","general"
"what tools or libraries did you find most effective in your projects","projects"
"hey there","general"
"hi","general"
"what degree do you have","education"
"how long have you been working","experiences"
"I am John Doe, and my email is johndoe@example.com. I wanted to reach out regarding a new project.","userWantsToSendEmail"
"do you offer consultations or calls","contact"
"have you ever led a project or a team","experiences"
"can you assist with cloud-native applications","services"
"sounds good","general"
"Hi, this is Alex Johnson. You can reach me at alexjohnson@example.com. I would like to discuss your availability for a project.","userWantsToSendEmail"
"how have your professional skills evolved","experiences"
"can I see your portfolio website","projects"
"do you accept invitations to speak or present","contact"
"can you describe the most challenging project you have worked on","projects"
"I go by Jane Smith, and my contact email is janesmith@example.com. I wanted to check your availability for a project.","userWantsToSendEmail"
"can I see a demo or walkthrough of the File Management System","projects"
"affirmative","general"
"do you have a portfolio","projects"
"what do you offer","services"
"like","general"
"can you share your social media handles","contact"
"can I interact with you","general"
"what projects show your leadership and ownership qualities","projects"
"does the portfolio highlight your key projects","projects"
"tell me about your projects","projects"
"can you help with website SEO optimization","services"
"can you share projects that use APIs extensively","projects"
