"text","intent"
"do you offer AI-based fraud detection solutions","services"
"can I see your projects","projects"
"can you help with developing voice-enabled applications","services"
"what kind of clients or industries were your projects for","projects"
"What is your Personal Portfolio Website?","projects"
"I have a query","general"
"good morning","general"
"what is your email address","contact"
"What is the MongoDB Setup & API Integration project?","projects"
"are you the owner","general"
"How does this system enhance document handling?","projects"
"have you collaborated on any team projects","projects"
"what impact have your projects had","projects"
"what kind of projects have you completed","projects"
"Is the File Management System scalable?","projects"
"I need information","general"
"OK","general"
"got it","general"
"what technologies have you gained experience with","experiences"
"can you assist with business automation","services"
"what challenges have you faced in your career","experiences"
"can you share details of your career progression","experiences"
"personal background","introduction"
"tell me about your work","general"
"are you the owner","general"
"What is your Personal Portfolio Website?","projects"
"How does this system enhance document handling?","projects"
"are you experienced with databases","skills"
"can you explain a specific project in detail","projects"
"what personal projects are you proud of","projects"
"do you provide machine learning model optimization","services"
"Please reach out to me, John Doe, at johndoe@example.com. I have a project idea to discuss.","userWantsToSendEmail"
"who are you","general"
"How is the portfolio optimized for performance and accessibility?","projects"
"can you chat with me","general"
"indeed","general"
"are you familiar with agile or other development methodologies","skills"
"do you help with building scalable applications","services"
"what kind of jobs have you done","experiences"
"I need some details","general"
"what are your favorite projects you have worked on","projects"
"Is MongoDB optimized for specific workloads?","projects"
"can you help with website SEO optimization","services"
"do you have experience with APIs","skills"
"what have you done so far","experiences"
"How secure is the File Management System?","projects"
"Is your portfolio interactive or static?","projects"
"have you worked on any freelance or contract projects","projects"
"how do I ask you a question directly","contact"
"certainly","general"
"what programming paradigms are you familiar with","skills"
"What technologies are used in your Personal Portfolio Website?","projects"
"Does the portfolio highlight your key projects?","projects"
"how do you approach solving problems in your projects","projects"
"what technologies did you use in your projects","projects"
"Can this setup work in a production environment?","projects"
"can you integrate APIs into existing systems","services"
"what professional skills have you developed","experiences"
"can you help with deploying AI applications on the cloud","services"
"what projects have you worked on","projects"
"can you introduce yourself","general"
"absolutely","general"
"yeah","general"
"alrighty","general"
"This is Jane Smith, reaching out with my email: janesmith@example.com. My message is about a potential collaboration.","userWantsToSendEmail"
"can you work with modern technologies","skills"
"what personal projects are you proud of","projects"
"what skills do you have that are in demand today,skillscan you answer my question","general"
"what projects demonstrate your full-stack skills","projects"
"Does it include animations or transitions?","projects"
"can you integrate machine learning models into my app","services"
"I wanted to ask if you are available for a new project. My name is John Doe, and my email is johndoe@example.com.","userWantsToSendEmail"
"can you provide custom web scraping solutions","services"
"do you provide machine learning model optimization","services"
"How portable is the integration across platforms?,projectshow can I contact you","contact"
"how well do you know system design and architecture","skills"
"John Doe here. My email is johndoe@example.com. I want to discuss a project with you.","userWantsToSendEmail"
"do you have any certifications or training in specific technologies","skills"
"Could you let me know if you are available for a project? My name is Jane Smith, and my email is janesmith@example.com.","userWantsToSendEmail"
"work history","experiences"
"can you share your professional journey","experiences"
"do you offer cloud data storage solutions","services"
"I want to know more","general"
"where to send a collaboration request","contact"
"do you help with website user experience (UX) design","services"
"do you know any design patterns","skills"
"can you handle debugging and optimization","skills"
"is there a contact form","contact"
"can I see your GitHub or other project repositories","projects"
"can you introduce yourself","general"
"your educational background","education"
"sounds good","general"
"Jane Smith speaking. You can contact me at janesmith@example.com. I am interested in your availability for a project.","userWantsToSendEmail"
"Hey, it’s John Doe. Drop me a message at johndoe@example.com. I have a project to discuss.","userWantsToSendEmail"
"can you work with CI/CD pipelines","skills"
"what do you offer","services"
"are you experienced with databases","skills"
"can you help with robotic process automation (RPA)","services"
"can you work with modern technologies","skills"
"can I set up a consultation with you","contact"
"do you provide consultation for cloud infrastructure management","services"
"Alex Johnson here, with the email alexjohnson@example.com. I would like to know if you are free for collaboration.","userWantsToSendEmail"
"How did you host your Personal Portfolio Website?","projects"
"What challenges did you face during integration?","projects"
"I have a query","general"
"how do you keep your skills up-to-date","skills"
"can you develop AI-based predictive maintenance solutions,serviceswhat is your experience","experiences"
"do you offer multi-cloud infrastructure solutions","services"
"okay","general"
"Is the system optimized for performance?","projects"
"is this the portfolio owner","general"
"understood","general"
"Can I view your work on GitHub Pages?","projects"
"can I call you","contact"
"Can I see a demo or walkthrough of the File Management System?","projects"
"how versatile is your tech stack","skills"
"What is the summarization feature in this project?","projects"
"what do you do","general"
"What technologies were paired with MongoDB?","projects"
"show me your projects","projects"
"My full name is John Doe, and my email address is johndoe@example.com. My message is about a potential project.","userWantsToSendEmail"
"affirmative","general"
"Did you use authentication for MongoDB?","projects"
"What challenges did you face during integration?","projects"
"can I get your phone number","contact"
"how do you approach learning new technologies","skills"
"affirmative","general"
"what is your role in the projects you work on","projects"
"are you available on social media","contact"
"Jane Smith speaking. You can contact me at janesmith@example.com. I am interested in your availability for a project.","userWantsToSendEmail"
"what kind of projects have you completed","projects"
"can I talk to the owner","general"
"can you help with web security implementation","services"
"This is Alex Johnson. Email: alexjohnson@example.com. Let me know if you are free to collaborate on a new project.","userWantsToSendEmail"
"do you build custom web solutions","services"
"What inspired this project?","projects"
"can you help with API integration","services"
"can you share your recent projects","projects"
"do you develop custom AI solutions for enterprise needs","services"
"can you build web applications","services"
"can you provide custom AI tools for my business","services"
"Can I view your work on GitHub Pages?","projects"
"exactly","general"
"How is this project beneficial for scalability?","projects"
"do you provide AI development","services"
"can I DM you","contact"
"can you share your professional journey","experiences"
"What kind of API endpoints were created?","projects"
"Did you use authentication for MongoDB?","projects"
"How secure is the File Management System?","projects"
"can you optimize existing applications with AI","services"
"good afternoon","general"
"what did you study","education"
"How does MongoDB improve app performance?","projects"
"what’s up","general"
"What is the MongoDB Setup & API Integration project?","projects"
"right","general"
"can you assist with cloud-native applications","services"
"What technologies were paired with MongoDB?","projects"
"examples of your projects","projects"
"what unique technical skills set you apart","skills"
"Is MongoDB optimized for specific workloads?","projects"
"no problem","general"
"can you set up DevOps pipelines","services"
"what’s up","general"
"I think so","general"
"what tools are you proficient in","skills"
"can I know more about you","general"
"can you provide serverless computing solutions","services"
"how are you","general"
"What is the summarization feature in this project?","projects"
"hello there","general"
"do you offer cloud infrastructure setup","services"
"what is your expertise","skills"
"did you go to college","education"
"do you offer multi-cloud infrastructure solutions","services"
"what have you built","projects"
"what is your name","introduction"
"how well do you understand data structures and algorithms","skills"
"is this a chatbot","general"
"can you explain a specific project in detail","projects"
"can you describe your past roles","experiences"
"do you provide AI development","services"
"help me with something","general"
"do you have experience in leadership or management","experiences"
"can you list the most impactful projects you have worked on","experiences"
"tell me about your projects","projects"
"what roles have you taken on","experiences"
"Did you use authentication for MongoDB?","projects"
"can you share your recent projects","projects"
"Can I see the source code for this integration?","projects"
"are your projects live or in production","projects"
"how to connect with you","contact"
"do you have skills in testing frameworks","skills"
"can you help with website speed optimization","services"
"My name is Jane Smith, and here is my email: janesmith@example.com. My message is I would like to discuss a potential project with you.","userWantsToSendEmail"
"can you help with API integration","services"
"Hi, this is Alex Johnson. You can reach me at alexjohnson@example.com. I would like to discuss your availability for a project.","userWantsToSendEmail"
"like","general"
"How does the system use FastAPI and React?","projects"
"indeed","general"
"what libraries do you commonly use","skills"
"fair enough","general"
"Can I see a demo or walkthrough of the File Management System?","projects"
"I am Jane Smith. My email address is janesmith@example.com, and I want to know if you are open to working together.","userWantsToSendEmail"
"can you help with custom AI-powered recommendation systems","services"
"Can users interact with files directly?","projects"
"can you describe the most challenging project you have worked on","projects"
"How seamless is the frontend-backend communication?","projects"
"what unique technical skills set you apart","skills"
"Does it include animations or transitions?","projects"
"what experience do you bring to the table","experiences"
"How secure is the File Management System?","projects"
"sure","general"
"do you have cloud computing experience","skills"
"do you have a business card","contact"
"services you provide","services"
"can I get in touch with you","contact"
"academic achievements","education"
"can I see your GitHub or other project repositories","projects"
"what projects demonstrate your full-stack skills","projects"
"Can I see the source code for this integration?","projects"
"are you good at coding","skills"
"can you help with data analysis and AI","services"
"what programming paradigms are you familiar with","skills"
"tell me about your experience","experiences"
"Email me at alexjohnson@example.com. I am Alex Johnson, and my message is about your availability for an upcoming project.","userWantsToSendEmail"
"How did you host your Personal Portfolio Website?","projects"
"where can I find your email","contact"
"can you explain a specific project in detail","projects"
"How did you host your Personal Portfolio Website?","projects"
"How portable is the integration across platforms?,projectsshow me your projects","projects"
"hello there","general"
"how do I communicate with you","contact"
"can you build scalable applications","skills"
"do you have live demos of your projects","projects"
"Are you open to working on a new project? My name is Alex Johnson, and my email is alexjohnson@example.com.","userWantsToSendEmail"
"what is your role in the projects you work on","projects"
"have you ever led a project or a team","experiences"
"tell me about your technical skills","skills"
"hey","general"
"can you describe your past roles","experiences"
"What lessons did you learn from this project?","projects"
"academic achievements","education"
"what can you do for me","services"
"What challenges did you face during integration?","projects"
"do you work with IoT integrations","services"
"fair enough","general"
"tell me about your technical skills","skills"
"sounds good","general"
"how do I communicate with you","contact"
"what technologies do you know","skills"
"I am John Doe, and my email is johndoe@example.com. I wanted to reach out regarding a new project.","userWantsToSendEmail"
"Hi there, I am Jane Smith, and my email is janesmith@example.com. I was wondering if you have time to collaborate on a project.","userWantsToSendEmail"
"What text extraction methods are implemented?","projects"
"have you worked on any innovative or unique projects","projects"
"can you provide links to your projects","projects"
"Hi, my name is Alex Johnson. You can contact me at alexjohnson@example.com. I wanted to ask if you are available for collaboration.","userWantsToSendEmail"
"who is behind this site","introduction"
"what do you do","introduction"
"How does this project enhance your personal branding?","projects"
"how do you choose which projects to work on","projects"
"introduce yourself","introduction"
"how would you describe your career so far","experiences"
"do you provide consulting for AI integrations","services"
"Can this setup work in a production environment?","projects"
"do you have a LinkedIn profile","contact"
"do you provide performance tuning for websites","services"
"what are your favorite projects you have worked on","projects"
"can you build websites with integrated AI tools","services"
"what skills make you suitable for modern development challenges","skills"
"do you have an office address","contact"
"have you collaborated on any team projects","projects"
"do you offer AI-based fraud detection solutions","services"
"do you offer cloud-native app development","services"
"What Linux commands were used for setup?","projects"
"can you help with developing voice-enabled applications","services"
"do you offer AI-based image recognition services","services"
"do you offer cloud-based business automation","services"
"what kind of clients or industries were your projects for","projects"
"do you offer consulting for machine learning strategies","services"
"How did you install and configure MongoDB?","projects"
"do you specialize in front-end, back-end, or full-stack development","skills"
"do you offer cloud data storage solutions","services"
"what tools are you proficient in","skills"
"I want to know more","general"
"What inspired this project?","projects"
"what kind of automation services do you offer","services"
"have you worked on any freelance or contract projects","projects"
"do you have experience with APIs","skills"
"Why did you use React and TypeScript for your portfolio?","projects"
"Can I see the source code for your portfolio?","projects"
"How is MongoDB used in the File Management System?","projects"
"is this the right place","general"
"can I ask something","general"
